Acc_X0;Acc_Y0;Acc_Z0;Gy_X0;Gy_Y0;De_Y0;De_Y0K;Gyro_Z0;De_Z0;De_Z0K;Yaw;Yaw_k;Pitch;Pitch_K;Acc_X1;Acc_Y1;Acc_Z1;Gy_X1;Gy_Y1;De_Y1;De_Y1K;Gyro_Z1;De_Z1;De_Z1K;Yaw1;Yaw1_k;Pitch1;Pitch1_K
-7,48;-4,74;-5,66;7518;9477;45,37;68,6;-9237;-32,58;-9,2;-130,72;-74,5;142,57;104,5;-10,7;-3,67;-6,23;-6862;366;55,93;63,21;-7380;-28,85;-19,52;-110,97;3,44;4,59;-0,7
-9,12;-3,04;-2,36;-1354;-1047;67,12;68,8;-2712;-13,77;-10;-31,1;-31,13;-18,1;-18,03;-10,9;-1,87;-1,07;2545;-2769;78,82;66,56;-8547;-5,54;-16,5;-128,79;-128,71;-43,27;-43,25
-7,85;0,88;-1,28;542;7927;78,81;69,93;-5375;-9,22;-10,07;-71,76;-60,47;118,9;80,86;-13,14;-5,55;-4,92;237;7990;60,55;62,89;32767;-19,02;-18,22;501,96;501,96;120,98;120,98
-8,81;-2,55;-1,92;2647;3388;70,08;70,23;-4558;-11,82;-10,46;-59,29;-59,29;49,61;49,62;-9,99;0,71;-1,41;3714;-855;81,04;70;-2639;-8;-13,13;-38,59;-38,25;-14,05;-13,97
-9,86;-2,43;-2,3;-1820;-16840;71,28;70,19;10878;-12,75;-10,64;176,38;110,9;-259,22;-173,41;-9,97;-6,02;-3,4;1625;619;55,27;60,8;-18436;-16,26;-15,14;-279,77;-279,77;8,45;8,45
-7,81;-1,83;-1,41;-1244;-1191;73,53;69,83;-3201;-10;-10,18;-38,57;-38,48;-20,3;-20,4;-7,6;7,8;-7,7;-24662;3383;34,76;50,81;-11765;-35,25;-23,56;-177,92;-177,98;50,65;50,62
-8,86;-2,27;-2,16;1721;1684;70,55;69,85;-4080;-13,27;-10,57;-51,99;-48,24;23,59;11,37;-9,77;-1,13;-2,27;2738;-1474;75,47;66,29;-4675;-12,97;-17,21;-69,67;-69,67;-23,5;-23,5
-8,61;-2,94;-1,17;-1818;-3731;69,85;69,9;5398;-7,33;-10,51;92,71;92,62;-59,08;-59,04;-3,47;-3,94;-2,62;-1805;322;36,26;54,67;14315;-26,5;-20,96;220,25;220,07;3,92;3,9
-4,26;-4,19;-2,45;-2205;3252;41,23;67,87;-5367;-22,3;-11,13;-71,64;-26;47,53;17,92;-8,38;-3,66;-3,2;1282;-651;59,88;57,93;-11029;-19,28;-19,58;-166,68;-166,68;-10,94;-10,94
-8,66;-1,9;-1,68;3834;1067;73,7;68,31;-2991;-10,7;-11,2;-35,36;-35,36;14,17;14,17;-9,77;-0,75;-1,79;3474;-838;78,78;65,93;-7794;-10,33;-16,43;-117,29;-117,32;-13,79;-13,79
-6,56;-3,71;-0,1;-560;3287;60,51;67,93;-332;-0,74;-10,66;5,23;-6,04;48,06;38,65;-12,13;-4,34;-3,08;-1961;2389;66,31;66,15;32767;-13,44;-14,74;501,96;501,96;35,47;35,47
-8,26;-2,85;-2,25;1412;5964;66,3;67,98;-4107;-14,41;-10,9;-52,4;-52,37;88,93;88,9;-9,97;1,65;-2,53;3622;-82;73,13;68,92;-2389;-14,07;-13,25;-34,77;-34,44;-2,25;-2,23
-10,27;-1,39;-0,78;637;-2763;81,18;68,9;-918;-4,29;-10,69;-3,72;-17,23;-44,3;-7,29;-11,4;-0,29;-0,87;1883;-1387;85,38;73,48;-11678;-4,38;-11;-176,59;-137,1;-22,18;-16,63
-13,73;4,05;0,6;-284;9921;73,4;69,11;980;2,42;-10,06;25,26;25,24;149,35;149,25;-9,41;1,24;-0,04;6726;2149;82,49;75,39;16199;-0,26;-9,08;249,01;248,77;31,81;31,78
-9,05;-2,01;-1,33;1618;2692;75,1;72,79;-5876;-8,14;-8,92;-79,41;-79,41;38,98;38,98;-9,87;1,19;-1,89;1070;-855;77,23;76,54;-2634;-10,78;-9,7;-38,51;-38,51;-14,05;-14,05
-9,63;-2,67;-0,3;-1446;-4297;74,43;73,49;11468;-1,71;-6,5;185,38;185,22;-67,72;-67,66;-0,35;-0,02;-0,36;-9534;2702;43,93;64,27;6467;-45,94;-23,4;100,43;100,35;40,25;40,22
-8,82;-6,81;-3,11;6281;13405;49,67;67,15;-9050;-15,61;-8,64;-127,87;-40,89;202,54;127,47;-10,53;0,51;-1,63;6545;503;80,77;74,61;-5663;-8,81;-14,15;-84,76;-84,76;6,68;6,68
-8,97;-1,76;-2,2;4195;2442;72,57;68,7;-1735;-13,5;-9,8;-16,19;-16,2;35,16;35,22;-10,58;-2,32;-1,78;5028;-1939;74,55;74,61;-9012;-9,32;-12,5;-135,89;-135,86;-30,6;-30,58
-8,11;-3,79;3,25;-3966;-1964;58,36;66,95;-3242;19,97;-4,68;-39,2;-32,8;-32,1;-13,4;-14,9;-5,73;-2,21;-2164;14525;67,6;72,78;27789;-7,88;-11,16;425,96;269,87;220,76;150,93
-7,89;-4,12;-3,04;2323;3312;57,03;65,42;-3281;-18,83;-6,9;-39,79;-39,79;48,44;48,41;-9,86;-0,32;-3,45;3671;-947;70,65;72,78;-4066;-19,26;-12,08;-60,38;-60,17;-15,46;-15,35
-9,51;-1,75;1,32;14541;-14194;77,02;72,33;7320;7,79;1,67;122,06;122,06;-218,82;-218,82;-14,51;1,98;-1,36;16788;1088;80,61;74,16;-13304;-5,31;-11,2;-201,41;-162,17;15,61;7,01
-7,54;-3,01;0,51;-4053;-3891;67,98;70,16;342;3,57;2,68;15,52;15,59;-61,52;-61,62;-9,5;5,28;-0,04;-9495;-100;60,92;72,16;-12009;-0,19;-10,06;-181,64;-181,63;-2,53;-2,52
-9,08;-0,41;-1,88;2050;2131;78,02;72,18;-5162;-11,7;-1,23;-68,51;-45,15;30,41;4,85;-9,57;1,65;-2,09;417;-4015;74,45;73,5;-5134;-12,16;-11,59;-76,68;-76,68;-62,3;-62,3
-5,6;-2,78;0,44;-3355;941;63,31;70,3;1795;3,99;-0,26;37,7;37,65;12,25;12,24;-6,42;-3,82;-0,51;622;2457;59;67,96;32767;-3,88;-8,92;501,96;501,6;36,51;36,45
-8,79;-2,02;-1,64;-123;3498;73,48;72,23;-4403;-10,33;-6,23;-56,92;-56,92;51,28;51,28;-9,92;0,29;-2,82;-212;97;74,07;71,82;-3348;-15,84;-12,47;-49,41;-49,41;0,48;0,48
-10,72;-1,56;2,56;12636;-12172;74,37;73,16;7013;13,3;0,96;117,37;117,26;-187,95;-187,8;-14,55;1,58;0,42;10592;1231;83,58;76,34;-16351;1,66;-7,16;-247,93;-247,81;17,79;17,78
-10,29;1,53;0,77;-860;1346;80,59;77,51;645;4,21;3,16;20,15;20,15;18,43;18,43;-9,78;4,26;3,28;591;-129;61,19;66,9;-1489;17,07;7,6;-21,03;-21,03;-2,97;-2,97
-8,6;-1,73;-1,85;3193;2049;73,62;76,06;-2734;-11,89;-2,57;-31,44;-31,41;29,16;29,16;-9,56;0,28;-2,1;-217;-2138;77,5;70,98;-5059;-12,39;-0,14;-75,54;-75,5;-33,64;-33,62
-10,97;-4,63;-0,58;-2240;-881;66,95;70,41;12988;-2,77;-2,74;208,59;208,59;-15,57;-15,57;-2,59;-7,3;-6,25;-9364;-3623;15,1;36,02;-6051;-38,87;-24,45;-90,68;-90,68;-56,31;-56,31
-6,12;-5,65;-0,43;-3842;-6299;47,22;61,44;-1805;-2,99;-2,32;-17,26;-17,12;-98,29;-98,24;-9,99;-0,21;-0,78;-6462;552;85,35;85,31;-15097;-4,49;-4,51;-228,79;-228,79;7,43;7,43
-8,9;-3,06;-1,8;2954;2285;68,25;65,55;-2676;-10,85;-7,67;-30,55;-30,55;32,77;32,77;-10,07;-0,89;-2,57;1512;-21;74,86;78,06;-6762;-14,29;-11,59;-101,54;-101,54;-1,32;-1,32
-6,95;-4,74;-1,21;1056;-843;54,87;61,52;5881;-8,16;-7,93;100,09;100;-14,99;-14,96;-2,91;-3,25;-0,97;5341;-5770;40,64;62,69;32767;-12,51;-12,21;501,96;501,58;-89,09;-89,04
-8,17;-1,55;-1,96;4240;1786;73,01;64,7;-6295;-13,24;-9,27;-85,81;-34,18;25,15;14,01;-9,6;-2,22;-4,26;7858;361;63,38;62,99;-956;-23,41;-18,5;-12,9;-12,9;4,51;4,51
-10,18;-1,45;1,03;7449;-8081;80,11;68,11;6876;5,69;-6,11;115,28;115,18;-125,49;-125,41;-13,75;0,98;0,74;3764;-2071;84,88;71,46;-17176;3,09;-10,19;-260,53;-260,37;-32,62;-32,6
-12,46;0,61;2,38;-6139;-5066;78,87;74,36;3766;10,78;4,21;67,8;67,8;-79,46;-79,46;-10,54;0,08;1,52;2641;8884;81,78;77,86;-9034;8,21;0,92;-136,22;-136,22;134,63;134,63
-8,87;-1,51;-1,46;2799;997;76,69;75,04;-3294;-9,23;-0,67;-39,99;-39,92;13,1;13,04;-9,72;-0,03;-2,54;2051;-575;75,37;77,23;-3246;-14,63;-5,4;-47,86;-47,91;-9,78;-9,69
-10,11;-2,68;-0,71;52;-1636;74,67;74,94;7644;-3,88;-1,53;127;80,63;-27,1;-15,95;-1,38;-1,46;0,35;-7925;-1337;42,58;55,56;9107;9,9;4,09;140,74;140,74;-21,41;-21,41
-13,1;1,48;-1,77;5078;6083;80,01;75,98;-2391;-7,64;-2,59;-26,2;-26,14;90,75;90,68;-13,03;3,66;-10,25;-3784;13180;50,14;50,15;-8025;-37,13;-37,1;-120,82;-120,82;200,22;200,22
-8,65;-2,35;-1,68;-396;746;71,51;75,42;-3630;-10,62;-4,12;-45,12;-39,85;9,27;31,89;-9,68;0,14;-2,05;307;-1193;78,02;69,77;-5126;-11,95;-19,76;-76,56;-76,56;-19,21;-19,21
-9,39;-6,73;-1,01;-8438;-4804;54,06;72,29;7890;-5,01;-4,39;130,76;130,65;-75,46;-75,4;-1,67;-1,25;-0,05;828;-8503;53,15;62,9;8010;-1,43;-12,42;123,99;123,86;-130,82;-130,75
-17,55;-1,6;7,49;14797;-3873;66,41;68,7;11746;23,04;11,97;189,63;189,63;-61,25;-61,25;-11,84;-1,63;0,33;10684;3448;82,01;74,71;-13741;1,6;-3,43;-208,09;-208,09;51,64;51,64
-8,36;-2,71;-2,48;-240;592;66,3;66,3;-3330;-15,75;-15,72;-40,54;-40,54;6,92;6,92;-9,71;-0,74;-2,4;-665;-895;75,51;75,15;-5256;-13,84;-7,96;-78,54;-78,63;-14,66;-14,62
-9,68;-4,31;-1,44;-2164;-4488;64,85;65,3;10114;-7,73;-10,21;164,71;164,71;-70,64;-70,64;-3,1;-4,53;-1,16;-2003;-7019;33,53;63,43;8375;-11,91;-9,12;129,56;71,72;-108,16;-82,18
-8,08;-5,34;-1,03;5314;-14509;56,04;61,33;-995;-6,05;-8,12;-4,89;-4,78;-223,63;-223,54;-11,58;-0,06;1,72;4135;-397;81,56;67,14;-11058;8,43;-5,06;-167,12;-166,98;-7,06;-7,11
-8,36;-2,15;-1,84;4232;812;71,3;63,79;-3495;-12,05;-9,3;-43,06;-32,43;10,28;-54,68;-9,52;-0,35;-1,9;2731;-2172;78,54;73,97;-5315;-11,27;-9,05;-79,45;-79,45;-34,16;-34,16
-7,39;-2,59;-1,37;-40;2145;68,36;64,65;6091;-9,91;-9,54;103,29;103,21;30,63;30,57;-7,11;-1,93;-1,97;9302;-424;68,8;71,94;29567;-14,98;-11,48;453,1;452,77;-7,47;-7,49
-7,98;-3,16;-2,23;3577;6400;64,16;64,72;-6090;-14,55;-10,3;-82,68;-31,03;95,59;77,53;-8,81;-4,97;-3,72;6461;-4141;54,79;67,19;-1093;-20,21;-12,92;-14,99;114,97;-64,22;-48,46
-8,71;-2,68;-1,72;1758;271;69,89;65,79;-2669;-10,7;-10,46;-30,45;-30,45;2,02;2,06;-10,09;-1,49;-1,29;3720;-1960;78,93;69,57;-7911;-7,21;-11,33;-119,08;-118,93;-30,92;-30,93
-6,5;-3,44;0;-2053;3434;62,13;65,35;73;0;-9,11;11,41;-0,21;50,31;36,9;-10,63;-3,03;-2,42;-8011;4161;69,97;69,76;32647;-12,33;-12,12;500,13;500,13;62,53;62,53
-8,73;-2,77;-1,19;1015;3660;70,95;66,15;-8455;-7,4;-8,91;-118,78;-118,71;53,76;53,75;-9,06;-0,75;-3,52;-4812;1875;68,31;69,37;-2528;-21,19;-14,28;-36,9;-36,56;27,63;27,65
-10,29;-2,05;-2,82;-2896;-2929;71,28;66,8;159;-15,06;-9,86;12,73;-23,79;-46,84;-18,89;-11,51;-0,99;-1,91;1016;-1000;79,44;72,16;-9928;-9,36;-13,13;-149,87;-118,39;-16,27;-4,06
-8,01;0,93;0,28;6082;8626;83,11;68,33;-5355;1,99;-8,79;-71,46;-71,43;129,57;129,48;-13,97;0,75;0,97;-168;5095;84,99;74,91;24156;3,96;-9,83;370,49;370,19;76,79;76,74
-8,9;-2,59;-1,61;3350;1445;71,1;70,15;-2429;-9,86;-9,53;-26,78;-26,78;19,94;19,94;-9,73;-1,04;-1,76;2347;-1030;78,16;76,98;-6106;-10,18;-9,45;-91,52;-91,52;-16,73;-16,73
-12,1;-5,35;-0,65;-2655;-2347;65,99;68,67;13229;-2,79;-7,12;212,27;212,12;-37,95;-37,92;-2,13;-5,44;-6,63;-9863;-2821;13,96;53,29;-2158;-48,63;-24,38;-31,25;-31,28;-44,07;-44,05
19,47;-1,73;3,47;-2379;7792;-78,73;29,08;1830;10,08;-2,02;38,24;86,55;116,84;73,82;-16,58;-3,98;-2,86;13743;-13044;73,54;65,85;-7813;-9,52;-15,17;-117,58;-117,58;-200,15;-200,14
