Acc_X0;Acc_Y0;Acc_Z0;Gy_X0;Gy_Y0;De_Y0;De_Y0K;Gyro_Z0;De_Z0;De_Z0K;Yaw;Yaw_k;Pitch;Pitch_K;Acc_X1;Acc_Y1;Acc_Z1;Gy_X1;Gy_Y1;De_Y1;De_Y1K;Gyro_Z1;De_Z1;De_Z1K;Yaw1;Yaw1_k;Pitch1;Pitch1_K
-9,32;0,15;0,03;118;127;89,08;88,42;-689;0,17;-1,08;-0,22;-0,46;-0,18;-0,23;-9,82;1,24;-1,64;462;80;78,17;77,52;-96;-9,43;-10,13;0,23;-0,11;0,22;-0,2
-9,21;-0,07;0,2;419;193;88,69;88,42;-713;1,24;-1,08;-0,59;-0,55;0,83;0,51;-9,68;1,26;-1,47;-45;72;78,68;77,52;-172;-8,55;-10,13;-0,93;-0,12;0,1;-0,2
-9,25;0,09;-0,03;625;125;89,4;88,42;-584;-0,22;-1,08;1,38;0,8;-0,21;0,01;-9,73;1,22;-1,5;143;-31;78,73;77,52;55;-8,72;-10,12;2,54;-0,07;-1,47;-0,22
-9,2;0,22;0,1;358;-148;88,49;88,42;-821;0,6;-1,07;-2,23;-1,31;-4,38;-3,05;-9,73;1,54;-1,96;722;285;75,65;77,53;-61;-11,23;-10,12;0,77;-0,06;3,35;-0,16
-9,19;-0,03;0,03;668;-61;89,74;88,41;-799;0,17;-1,08;-1,9;-1,72;-3,05;-3,05;-9,64;1,42;-1,98;639;139;75,79;77,53;-232;-11,5;-10,13;-1,84;-0,09;1,12;-0,14
-9,21;0,21;-0,15;195;137;88,39;88,4;-728;-0,95;-1,08;-0,81;-1,35;-0,03;-1,81;-9,71;1,41;-1,91;160;-42;76,29;77,52;-175;-10,99;-10,13;-0,97;-0,1;-1,64;-0,17
-9,2;0,04;-0,13;504;210;89,14;88,41;-588;-0,83;-1,08;1,32;-0,57;1,09;-0,96;-9,77;1,43;-1,99;276;17;75,88;77,51;-48;-11,42;-10,13;0,97;-0,09;-0,74;-0,18
-9,15;-0,13;-0,03;410;193;89,16;88,41;-512;-0,22;-1,07;2,48;0,13;0,83;-0,56;-9,74;1,29;-1,74;424;-45;77,49;77,51;-152;-10,02;-10,13;-0,62;-0,1;-1,69;-0,2
-9,15;0,12;-0,11;581;-9;89;88,4;-728;-0,68;-1,07;-0,81;-0,05;-2,26;-0,87;-9,72;1,35;-2,04;501;148;75,86;77,51;-36;-11,76;-10,13;1,15;-0,08;1,26;-0,18
-9,2;0,08;-0,13;508;104;89,05;88,4;-708;-0,81;-1,07;-0,51;-0,12;-0,53;-0,82;-9,77;1,4;-1,87;335;8;76,56;77,51;-86;-10,71;-10,13;0,39;-0,07;-0,88;-0,19
-9,14;0,11;-0,19;340;139;88,62;88,4;-670;-1,19;-1,07;0,07;-0,1;0;-0,7;-9,72;1,46;-1,83;97;20;76,44;77,5;-125;-10,57;-10,13;-0,21;-0,07;-0,69;-0,2
-9,19;0,11;-0,04;415;74;89,27;88,4;-758;-0,25;-1,08;-1,27;-0,24;-0,99;-0,74;-9,7;1,33;-1,86;410;112;76,74;77,5;-112;-10,75;-10,14;-0,01;-0,07;0,71;-0,19
-9,18;0;-0,12;413;94;89,26;88,4;-730;-0,74;-1,08;-0,85;-0,31;-0,68;-0,73;-9,73;1,38;-1,86;71;74;76,61;77,5;-126;-10,72;-10,14;-0,22;-0,08;0,13;-0,18
-9,18;0,09;0,03;316;284;89,41;88,41;-569;0,17;-1,07;1,61;-0,11;2,22;-0,44;-9,73;1,41;-1,73;191;24;77,11;77,5;-93;-9,97;-10,14;0,28;-0,07;-0,63;-0,19
-9,15;0,14;-0,06;546;159;89,07;88,41;-682;-0,38;-1,07;-0,11;-0,11;0,31;-0,37;-9,63;1,33;-1,81;322;116;76,88;77,5;-52;-10,53;-10,13;0,91;-0,06;0,77;-0,18
-9,15;0,15;-0,12;592;108;88,77;88,41;-632;-0,77;-1,07;0,65;-0,05;-0,47;-0,37;-9,72;1,45;-2,08;354;116;75,4;77,5;-52;-11,93;-10,13;0,91;-0,05;0,77;-0,16
-9,28;0,16;-0,15;318;69;88,65;88,41;-617;-0,91;-1,06;0,88;0,03;-1,07;-0,43;-9,71;1,44;-2,04;295;-98;75,58;77,49;-122;-11,73;-10,14;-0,16;-0,05;-2,5;-0,2
-9,25;0,16;-0,07;277;256;88,9;88,41;-652;-0,45;-1,06;0,35;0,05;1,79;-0,26;-9,71;1,52;-1,85;427;-41;76,14;77,48;-101;-10,68;-10,14;0,16;-0,05;-1,63;-0,22
-9,14;0,16;0,06;560;98;88,92;88,41;-728;0,36;-1,06;-0,81;-0,01;-0,62;-0,29;-9,67;1,47;-1,85;251;135;76,27;77,48;-131;-10,72;-10,14;-0,3;-0,05;1,06;-0,2
-9,26;0,14;0,06;299;151;89,07;88,41;-688;0,36;-1,06;-0,2;-0,02;0,19;-0,25;-9,67;1,44;-1,94;231;19;75,96;77,47;-170;-11,25;-10,14;-0,9;-0,06;-0,71;-0,21
-9,2;0,22;-0,14;304;273;88,37;88,42;-655;-0,9;-1,06;0,3;0;2,05;-0,1;-9,69;1,56;-1,9;225;-49;75,78;77,46;-146;-10,96;-10,15;-0,53;-0,07;-1,75;-0,23
-9,14;0,08;0,03;475;72;89,48;88,42;-711;0,21;-1,06;-0,55;-0,03;-1,02;-0,16;-9,7;1,52;-1,93;263;43;75,79;77,46;-79;-11,13;-10,15;0,49;-0,06;-0,34;-0,23
-9,17;0;-0,12;603;171;89,26;88,42;-583;-0,74;-1,05;1,4;0,05;0,49;-0,12;-9,72;1,37;-1,77;288;141;77,04;77,46;-104;-10,21;-10,15;0,11;-0,06;1,15;-0,21
-9,24;0,2;-0,19;329;116;88,32;88,42;-675;-1,17;-1,05;-0,01;0,05;-0,35;-0,13;-9,76;1,43;-1,79;237;168;76,78;77,47;-138;-10,31;-10,15;-0,41;-0,07;1,56;-0,19
-9,2;0,19;-0,09;481;26;88,7;88,41;-708;-0,53;-1,05;-0,51;0,02;-1,72;-0,22;-9,74;1,46;-2,04;268;21;75,55;77,46;-103;-11,69;-10,15;0,13;-0,06;-0,68;-0,2
-9,24;0,12;-0,17;127;103;88,71;88,41;-651;-1,06;-1,05;0,36;0,04;-0,55;-0,24;-9,67;1,45;-1,77;183;-22;76,68;77,46;-146;-10,25;-10,15;-0,53;-0,07;-1,34;-0,21
-9,24;0,18;-0,21;377;96;88,25;88,41;-722;-1,33;-1,06;-0,72;0;-0,65;-0,26;-9,65;1,47;-1,79;341;-7;76,49;77,45;-124;-10,38;-10,16;-0,19;-0,07;-1,11;-0,23
-9,19;0,16;-0,03;522;150;88,95;88,41;-698;-0,22;-1,06;-0,36;-0,02;0,17;-0,24;-9,65;1,47;-1,84;75;15;76,3;77,44;-139;-10,67;-10,16;-0,42;-0,08;-0,77;-0,23
-9,16;0,09;-0,05;341;241;89,34;88,42;-642;-0,31;-1,05;0,5;0,01;1,56;-0,15;-9,71;1,48;-1,87;115;102;76,19;77,44;-66;-10,8;-10,16;0,69;-0,07;0,56;-0,23
-9,27;0,14;0,02;750;266;89,12;88,43;-715;0,11;-1,05;-0,62;-0,02;1,94;-0,04;-9,7;1,48;-1,82;258;106;76,38;77,44;-148;-10,53;-10,16;-0,56;-0,07;0,62;-0,22
-9,13;0,11;-0,06;269;185;89,23;88,43;-803;-0,37;-1,06;-1,96;-0,12;0,7;0;-9,71;1,4;-1,82;219;74;76,71;77,44;-191;-10,51;-10,16;-1,22;-0,09;0,13;-0,21
-9,17;0,08;-0,03;393;101;89,46;88,43;-681;-0,22;-1,06;-0,1;-0,12;-0,58;-0,03;-9,68;1,4;-1,88;189;7;76,38;77,44;-121;-10,9;-10,17;-0,15;-0,09;-0,89;-0,22
-9,14;0,11;-0,02;578;-15;89,29;88,42;-695;-0,11;-1,06;-0,31;-0,13;-2,35;-0,14;-9,76;1,4;-1,77;249;-1;76,96;77,43;-104;-10,2;-10,17;0,11;-0,09;-1,02;-0,23
-9,25;0,17;-0,23;266;6;88,23;88,42;-689;-1,42;-1,06;-0,22;-0,13;-2,03;-0,23;-9,66;1,44;-1,98;455;81;75,77;77,43;-90;-11,45;-10,17;0,33;-0,08;0,24;-0,23
-9,19;-0,02;-0,05;435;-87;89,69;88,41;-699;-0,29;-1,06;-0,37;-0,14;-3,45;-0,38;-9,72;1,35;-1,7;86;89;77,39;77,43;-117;-9,84;-10,17;-0,09;-0,08;0,36;-0,22
-9,14;0,14;-0,07;357;-127;89,05;88,39;-795;-0,41;-1,06;-1,84;-0,22;-4,06;-0,55;-9,74;1,52;-1,86;303;143;76,16;77,43;-55;-10,69;-10,16;0,86;-0,07;1,18;-0,21
-9,18;0,25;-0,03;486;232;88,45;88,39;-669;-0,17;-1,06;0,09;-0,03;1,42;0,68;-9,7;1,52;-1,81;314;115;76,3;77,44;-34;-10,45;-10,16;1,18;-0,06;0,76;-0,2
-9,16;0,13;0,01;451;168;89,21;88,4;-730;0,05;-1,06;-0,85;-0,59;0,44;0,52;-9,69;1,44;-1,93;456;98;76,05;77,43;-97;-11,13;-10,16;0,22;-0,06;0,5;-0,19
-9,18;0;0,01;307;252;89,94;88,4;-761;0,05;-1,06;-1,32;-1,1;1,73;1,36;-9,72;1,3;-1,76;152;108;77,31;77,44;-229;-10,18;-10,17;-1,8;-0,07;0,65;-0,18
-9,22;0,06;-0,11;599;525;89,23;88,42;-345;-0,66;-1,06;5,03;3,17;5,9;4,52;-9,76;1,01;-1,8;-170;-324;78,07;77,42;-588;-10,38;-10,2;-7,28;-0,15;-5,95;-0,24
-9,22;0,07;-0,02;556;-72;89,57;88,43;-806;-0,11;-1,05;-2,01;-0,43;-3,22;-0,87;-9,68;1,41;-1,74;228;104;76,98;77,42;-4;-10,06;-10,19;1,64;-0,13;0,59;-0,23
