Acc_X0,Acc_Y0,Acc_Z0,Gy_X0,Gy_Y0,De_Y0,De_Y0K,Gyro_Z0,De_Z0,De_Z0K,Yaw,Yaw_k,Pitch,Pitch_K,Acc_X1,Acc_Y1,Acc_Z1,Gy_X1,Gy_Y1,De_Y1,De_Y1K,Gyro_Z1,De_Z1,De_Z1K,Yaw1,Yaw1_k,Pitch1,Pitch1_K
-11.69,0.99,1.1,5602,4549,82.77,73.46,-4600,5.36,9.44,-59.93,-59.9,67.33,67.31,-13.17,3.87,5.45,-10226,-8971,63.08,66.22,-11426,21.65,4.22,-172.74,-172.49,-137.96,-137.87
-6.3,-0.12,-1.54,9772,3632,76.24,75.29,-7644,-13.72,-5.09,-106.4,-106.4,53.33,53.33,-9.44,-4.18,-4.43,2836,5369,57.19,60.59,-9291,-23.19,-12.48,-140.15,-140.15,80.97,80.97
-9.45,0.16,-0.92,3177,3104,84.34,78.9,-6895,-5.58,-5.54,-94.97,-94.97,45.27,45.27,-10.26,-3.27,-3.05,-2280,-1497,66.43,66.42,-5920,-15.83,-15.83,-88.68,-88.68,-23.85,-23.85
-8.5,1.29,-0.42,4599,4635,80.96,79.62,-6292,-2.77,-5.04,-85.76,-88.32,68.64,62.15,-9.83,-0.99,-0.96,576,-722,82.0,77.22,-4648,-5.54,-8.78,-69.26,-69.26,-12.02,-12.02
-8.8,1.26,-0.28,1486,3084,81.65,80.26,-6052,-1.78,-4.6,-82.1,-82.1,44.96,44.97,-10.07,-0.22,-1.13,-1422,-658,83.48,79.77,-7139,-6.4,-7.97,-107.29,-107.27,-11.05,-11.05
-8.54,1.96,-1.32,4992,481,74.52,79.34,-2956,-8.54,-5.53,-34.83,-47.96,5.22,16.27,-10.13,-0.6,-0.33,3469,1150,86.11,81.6,-12884,-1.88,-6.57,-195.0,-170.63,16.56,8.89
-11.66,4.85,-0.86,4780,-298,67.1,77.53,370,-3.89,-5.45,15.95,15.91,-6.67,-6.66,-14.84,-1.01,-0.7,1032,6925,85.27,82.46,-14244,-2.71,-6.22,-215.77,-215.74,104.73,104.67
-12.28,-0.54,0.58,-2341,-8601,86.31,82.69,12683,2.7,-0.62,203.93,203.93,-133.43,-133.43,-13.83,-3.38,-4.88,10739,11556,66.77,79.97,-22148,-18.91,-9.38,-336.44,-302.91,175.43,155.76
-9.85,0.53,0.47,2321,-8396,85.92,83.55,11615,2.7,1.13,187.63,187.64,-130.3,-130.31,-1.8,-2.6,-1.85,8152,-519,29.51,72.59,8586,-30.34,-13.68,132.78,132.51,-8.92,-8.82
-6.88,-0.17,-0.08,-7933,-353,88.4,84.58,8127,-0.67,1.14,134.38,149.17,-7.51,-41.62,-6.9,-5.08,0.41,-5263,3046,53.58,61.37,31120,2.77,-3.77,476.81,476.81,45.5,45.5
-6.38,0.43,0.43,-5308,1263,84.58,84.45,-839,3.84,2.19,-2.51,-2.41,17.16,17.13,-11.35,-4.55,-0.21,-8236,1988,68.14,64.0,32767,-0.98,-1.53,501.96,501.94,29.35,29.36
-7.85,4.47,3.01,-2324,1657,55.52,79.42,-3690,18.44,5.0,-46.04,-33.91,23.18,21.49,-11.05,-1.27,0.38,-2829,4794,83.14,69.3,19949,1.96,0.72,306.26,360.63,72.19,60.29
-7.65,2.74,3.03,-3614,2200,61.91,76.85,-2032,20.44,7.22,-20.72,-20.73,31.47,31.46,-10.14,-2.16,-2.26,-5338,1195,72.87,70.26,-12535,-12.29,-0.93,-189.67,-189.33,17.24,17.27
-13.2,3.75,0.3,4905,513,74.1,75.28,1252,1.24,3.67,29.41,29.41,5.71,5.71,-10.41,-3.5,0.07,-15244,-574,71.42,70.98,-15167,0.39,-0.45,-229.86,-229.86,-9.76,-9.76
-10.34,0.06,-1.3,-1909,6605,82.85,78.1,-7370,-7.15,-0.27,-102.22,-102.14,98.72,98.66,-10.2,0.64,-0.17,1215,2116,86.26,76.69,-5449,-0.98,-1.22,-81.49,-81.58,31.31,31.28
