Acc_X0;Acc_Y0;Acc_Z0;Gy_X0;Gy_Y0;De_Y0;De_Y0K;Gyro_Z0;De_Z0;De_Z0K;Yaw;Yaw_k;Pitch;Pitch_K;Acc_X1;Acc_Y1;Acc_Z1;Gy_X1;Gy_Y1;De_Y1;De_Y1K;Gyro_Z1;De_Z1;De_Z1K;Yaw1;Yaw1_k;Pitch1;Pitch1_K
-9;-1,57;-0,59;2816;3128;79,45;77,96;-4141;-3,67;-2,87;-52,92;-52,86;45,64;45,7;-9,74;1,13;-1,3;6587;-1365;79,96;71,13;-5322;-7,58;-10,99;-79,55;-79,3;-21,84;-21,79
-10,01;-4,95;0,74;-955;-4017;63,44;73,78;12504;3,8;-0,88;201,2;130,62;-63,45;-33,13;-2,56;-8,18;-3,3;-10127;-1137;16,19;38,08;-855;-21,06;-17,17;-11,35;-11,35;-18,36;-18,36
2,15;-6,48;-7,77;-1126;8515;-12;54,27;-12393;-48,68;-11,29;-178,91;-178,71;127,88;127,78;-1,81;-10,43;-6,15;4186;7308;8,52;8,54;-15844;-30,13;-30,12;-240,19;-240,19;110,57;110,57
-12,1;-0,3;-1,04;7053;-6007;84,87;72,87;1631;-4,92;-7,75;35,2;35,2;-93,83;-93,83;-13,36;2,74;-0,44;2989;-4350;78,24;57,12;-16608;-1,86;-10,77;-251,86;-251,86;-67,41;-67,41
-2,63;-7,64;2,33;285;-9728;18,21;18,25;12832;16,09;16,07;206,21;206,21;-150,64;-150,64;-8,23;-7,42;-1;19633;1901;47,7;47,71;-21339;-5,16;-5,17;-324,09;-324,09;28,02;28,02
-8,72;-2,07;-0,36;4270;3072;76,43;58,51;-6052;-2,3;3,55;-82,1;-82,1;44,78;44,78;-10,11;0,38;-1,38;3643;-1229;81,91;71,52;-8518;-7,79;-7,39;-128,35;-128,35;-19,76;-19,76
-3,35;-3,18;-0,95;-1144;6623;45,26;45,27;-4376;-11,6;-11,59;-56,51;-56,51;98,99;98,99;-11,07;2,82;1,7;12952;9243;73,43;72,25;32767;8,47;-1,18;501,96;501,57;140,11;140,01
-9,18;-1,55;-0,99;-3185;1866;78,66;68,6;-5968;-6,06;-7,81;-80,81;-80,81;26,37;26,37;-9,95;0,73;-1,14;-275;-766;82,26;78,75;-5972;-6,51;-3,79;-89,48;-89,48;-12,69;-12,69
-9,49;-4,49;0,26;-666;-4136;64,63;67,03;11199;1,44;-4,21;181,28;181,11;-65,27;-65,21;-0,8;0,92;-0,58;-13593;252;36,41;62,36;12448;-25,37;-12,34;191,75;191,57;2,85;2,84
-8,93;-3,19;0,85;-4967;-31;69,72;67,68;-4786;5,1;-1,18;-62,77;4,99;-2,59;-19,99;-9,88;0,42;-1,87;3269;1002;79,01;72,77;-4484;-10,72;-11,04;-66,76;-66,76;14,3;14,3
-11,66;-1,7;0,57;3182;-9843;81,25;70,69;4597;2,75;-0,27;80,48;80,44;-152,39;-152,31;-13,04;2,65;-1,87;286;537;76,02;74,06;-17596;-8,02;-10,04;-266,94;-266,82;7,2;7,2
-9,01;-1,33;3,37;-10549;-16389;68,08;68,88;6359;20,31;12,23;107,38;107,38;-252,33;-252,33;-11,39;-3,86;-4,23;-5086;-1284;63,31;71,07;-24248;-19,38;-13,49;-368,5;-340,25;-20,6;-12,88
-9,33;-1,27;-0,87;1706;2890;80,63;72,66;-5597;-5,25;5,93;-75,15;-75,04;42;41,82;-9,96;1,75;-1,08;1165;-1711;78,3;72,61;-7768;-6,12;-12,95;-116,9;-117,03;-27,12;-27,11
-5,96;-2,63;-0,52;-8247;5315;65,76;68,42;4731;-4,57;-0,73;82,53;82,53;79,03;79,03;-7,08;-4,24;-2,15;-269;-2365;56,13;62,68;32767;-14,58;-14,11;501,96;501,96;-37,11;-37,11
-9,68;-0,68;-1,34;3102;5943;81,14;73,51;-4439;-7,89;-3,28;-57,47;-57,38;88,61;88,61;-9,78;1,78;-2,18;2299;-1054;73,93;66,81;-4020;-12,39;-12,21;-59,67;-59,32;-17,09;-17,1
-11,57;-4,86;0,89;4693;-9062;66,89;71,74;11759;4,05;-1,21;189,83;121,15;-140,47;-76,83;-6,98;-6,67;-6,43;-7858;2870;36,98;58,67;-15558;-33,67;-18,38;-235,83;-186,79;42,82;26,16
-2,17;-8,86;-0,79;-15274;-10718;13,7;58,84;-6761;-4,95;-1,65;-92,92;-92,79;-165,75;-165,7;-6,63;0;-1,39;-10616;-9816;78,14;62,94;-9067;-11,86;-17,57;-136,73;-136,76;-150,86;-150,75
-12,19;0,68;-1,64;2377;-1895;81,72;72,3;-1907;-7,64;-5,39;-18,81;-18,81;-31,05;-31,05;-13,61;1,48;-2,04;1070;-3194;79,51;72,63;-13502;-8,48;-12,34;-204,44;-204,44;-49,76;-49,76
-14,22;5,28;-0,54;-3661;20664;69,53;71,18;-6392;-2,05;-4,18;-87,29;-87,25;313,36;313,15;-16,38;5,11;4,32;3807;-12276;67,78;70,69;12517;14,13;-2,92;192,8;192,55;-188,42;-188,33
-9,15;-1,04;-0,68;4197;2926;82,29;74,9;-5173;-4,22;-4,43;-68,68;-73,84;42,55;117,73;-9,92;0,36;-1,39;2771;-2847;81,75;77,3;-6850;-7,98;-5,78;-102,88;-102,88;-44,47;-44,47
-5,14;-3,71;-0,82;-4774;5421;53,58;70,68;1985;-7,35;-5,29;40,61;40,53;80,64;80,67;-5,33;-1,64;-0,81;3065;921;71,11;74,81;32767;-8,27;-6,99;501,96;501,58;13,06;13,03
-9,5;-1,58;-1,51;2693;2959;77,05;74,63;-3311;-8,89;-7,38;-40,25;-40,25;43,06;43,06;-10,21;1,05;-1,86;3227;-1222;78,21;75,77;-6545;-10,25;-6,93;-98,22;68,42;-19,66;-10,58
