Acc_X0;Acc_Y0;Acc_Z0;Gy_X0;Gy_Y0;De_Y0;De_Y0K;Gyro_Z0;De_Z0;De_Z0K;Yaw;Yaw_k;Pitch;Pitch_K;Acc_X1;Acc_Y1;Acc_Z1;Gy_X1;Gy_Y1;De_Y1;De_Y1K;Gyro_Z1;De_Z1;De_Z1K;Yaw1;Yaw1_k;Pitch1;Pitch1_K
-9.17;0.05;0.69;-551;130;85.67;1.68;-580;4.32;0.09;1.45;0.13;-0.14;-0.01;-9.93;-1.14;-0.27;51;-34;83.28;1.63;-253;-1.52;-0.03;-2.16;-0.20;-1.52;-0.13;
-9.22;-0.08;0.69;1095;-70;85.69;3.29;-624;4.28;0.17;0.77;0.19;-3.19;-0.26;-9.87;-1.24;-0.35;742;104;82.58;3.19;-51;-2.04;-0.07;0.92;-0.10;0.59;-0.06;
-9.15;0.25;0.66;1320;-192;85.60;4.84;-543;4.12;0.24;2.01;1.33;-5.05;-3.26;-9.95;-1.16;-0.26;600;93;83.19;4.70;-147;-1.49;-0.10;-0.54;-0.38;0.42;0.25;
-9.11;0.15;0.82;927;-118;84.75;6.41;-604;5.17;0.35;1.08;1.08;-3.92;-3.92;-9.92;-1.15;-0.20;436;154;83.28;6.25;-200;-1.15;-0.12;-1.35;-1.35;1.35;1.35;
-9.16;0.35;0.71;513;143;85.09;50.87;-719;4.41;2.64;-0.68;-0.68;0.06;0.06;-9.92;-1.11;-0.35;217;60;83.31;49.80;-118;-1.99;-1.18;-0.10;-0.10;-0.08;-0.08;
-9.20;0.25;0.64;-1;110;85.73;85.70;-614;3.98;3.98;0.93;0.93;-0.44;-0.44;-9.90;-1.29;-0.26;131;-32;82.41;82.39;-291;-1.49;-1.49;-2.74;-2.74;-1.49;-1.49;
-9.11;0.29;0.72;-426;269;85.12;85.29;-690;4.54;4.37;-0.23;-0.23;1.99;1.99;-9.90;-1.30;-0.30;-8;-159;82.34;82.35;-255;-1.70;-1.64;-2.19;-2.19;-3.43;-3.43;
-9.25;-0.09;0.88;-41;290;84.53;84.98;-814;5.45;4.81;-2.13;-2.13;2.31;2.31;-9.86;-1.28;-0.21;164;-63;82.49;82.40;-82;-1.18;-1.46;0.45;0.45;-1.96;-1.96;
-9.14;0.01;0.83;87;261;84.82;84.94;-649;5.18;4.91;0.39;-0.31;1.86;1.99;-9.85;-1.19;-0.29;243;80;82.92;82.55;-95;-1.68;-1.52;0.25;0.30;0.22;-0.39;
-9.17;0.31;0.55;686;138;86.08;85.20;-739;3.43;4.58;-0.98;-0.59;-0.01;1.15;-9.89;-1.17;-0.28;420;129;83.08;82.67;-78;-1.62;-1.54;0.51;0.39;0.97;0.18;
-9.10;0.26;0.71;434;152;85.23;85.21;-674;4.48;4.56;0.01;-0.41;0.20;0.87;-9.86;-1.19;-0.27;317;61;82.93;82.72;-128;-1.57;-1.55;-0.25;0.20;-0.07;0.11;
-9.10;-0.06;0.74;0;157;85.32;85.23;-632;4.67;4.58;0.65;-0.17;0.28;0.73;-9.88;-1.19;-0.28;248;-56;82.96;82.75;-128;-1.62;-1.56;-0.25;0.10;-1.85;-0.34;
-9.14;0.21;0.70;537;224;85.42;85.26;-713;4.39;4.55;-0.59;-0.25;1.30;0.84;-9.92;-1.16;-0.14;431;66;83.30;82.82;-51;-0.78;-1.45;0.92;0.25;0.01;-0.27;
-9.14;0.23;0.88;276;274;84.31;85.15;-660;5.50;4.66;0.22;-0.17;2.06;1.03;-9.92;-1.21;-0.10;215;84;83.04;82.85;-210;-0.56;-1.35;-1.51;-0.03;0.28;-0.19;
-9.27;0.12;0.70;263;211;85.62;85.20;-568;4.32;4.63;1.63;0.07;1.10;1.04;-9.95;-1.29;-0.29;107;174;82.44;82.81;-197;-1.66;-1.39;-1.31;-0.20;1.66;0.06;
-9.18;-0.06;0.67;340;90;85.79;85.26;-496;4.20;4.59;2.73;0.39;-0.75;0.83;-9.87;-1.36;-0.16;186;117;82.11;82.74;-181;-0.95;-1.35;-1.06;-0.30;0.79;0.15;
-9.15;0.01;0.65;551;202;85.92;85.32;-729;4.08;4.55;-0.83;0.26;0.96;0.84;-9.89;-1.23;-0.24;317;175;82.79;82.75;84;-1.40;-1.35;2.98;0.05;1.67;0.31;
-9.14;0.27;0.59;541;93;85.92;85.37;-568;3.72;4.48;1.63;0.39;-0.70;0.69;-9.89;-1.19;-0.25;290;87;83.00;82.77;-139;-1.44;-1.35;-0.42;0.00;0.33;0.31;
-9.10;0.31;0.55;739;48;86.04;85.42;-684;3.47;4.41;-0.14;0.34;-1.39;0.51;-9.85;-1.17;-0.34;366;85;82.94;82.79;-49;-1.95;-1.40;0.95;0.09;0.30;0.31;
-9.20;0.28;0.70;73;97;85.33;85.41;-685;4.33;4.40;-0.16;0.30;-0.64;0.42;-9.83;-1.25;-0.33;345;-105;82.52;82.76;-139;-1.91;-1.43;-0.42;0.04;-2.60;0.08;
-9.16;0.15;0.59;268;82;86.18;85.46;-609;3.71;4.36;1.00;0.35;-0.87;0.32;-9.81;-1.31;-0.32;253;-14;82.19;82.72;-77;-1.84;-1.46;0.52;0.08;-1.21;-0.02;
-9.22;0.15;0.59;328;-12;86.20;85.50;-577;3.69;4.32;1.49;0.43;-2.30;0.14;-9.94;-1.28;-0.20;362;-33;82.57;82.71;6;-1.12;-1.43;1.79;0.20;-1.50;-0.12;
-9.09;0.29;0.66;524;52;85.45;85.49;-647;4.16;4.32;0.42;0.43;-1.33;0.04;-9.90;-1.17;-0.27;340;-1;83.07;82.73;-16;-1.52;-1.44;1.46;0.28;-1.02;-0.18;
-9.09;0.22;0.74;247;-112;85.17;85.47;-351;4.63;4.34;4.94;0.71;-3.83;-0.19;-9.92;-1.33;-0.24;342;-8;82.23;82.70;-464;-1.39;-1.44;-5.38;-0.06;-1.12;-0.24;
-9.17;0.17;0.72;175;384;85.39;85.47;-662;4.48;4.35;0.19;0.68;3.74;0.04;-9.94;-1.22;-0.17;278;-21;82.94;82.71;-133;-1.00;-1.42;-0.33;-0.08;-1.32;-0.30;
-9.10;0.23;0.76;446;116;84.98;85.45;-594;4.80;4.38;1.23;1.02;-0.35;-0.20;-9.90;-1.28;-0.18;310;33;82.56;82.70;-239;-1.04;-1.41;-1.95;-0.18;-0.50;-0.31;
-9.11;-0.10;0.74;440;159;85.34;85.44;-581;4.62;4.39;1.43;1.18;0.31;-0.01;-9.82;-1.37;-0.25;271;131;81.90;82.66;-125;-1.45;-1.41;-0.21;-0.19;1.00;-0.24;
-9.15;0.59;0.72;357;112;84.18;85.39;-629;4.50;4.40;0.70;1.05;-0.41;-0.12;-9.86;-1.07;-0.28;164;107;83.62;82.71;-69;-1.63;-1.42;0.65;-0.14;0.63;-0.20;
-9.15;0.24;0.65;-109;160;85.65;85.40;-683;4.09;4.39;-0.13;0.79;0.32;-0.02;-9.84;-1.41;-0.22;75;20;81.74;82.66;-140;-1.27;-1.41;-0.44;-0.16;-0.69;-0.22;
-9.14;0.28;0.76;490;206;84.93;85.38;-681;4.75;4.41;-0.10;0.63;1.03;0.17;-9.88;-1.26;-0.27;298;24;82.55;82.66;-114;-1.58;-1.42;-0.04;-0.15;-0.63;-0.24;
-9.16;0.16;0.72;391;229;85.42;85.39;-729;4.47;4.41;-0.83;0.40;1.38;0.35;-9.84;-1.26;-0.19;150;68;82.61;82.66;-128;-1.12;-1.41;-0.25;-0.16;0.04;-0.23;
-9.17;0.24;0.67;407;200;85.56;85.40;-717;4.17;4.40;-0.65;0.26;0.93;0.43;-9.83;-1.24;-0.33;160;113;82.58;82.65;-113;-1.89;-1.43;-0.03;-0.15;0.73;-0.19;
-9.23;0.28;0.65;237;101;85.64;85.40;-664;4.01;4.38;0.16;0.25;-0.58;0.31;-9.90;-1.20;-0.22;156;101;82.95;82.67;-156;-1.26;-1.42;-0.68;-0.17;0.54;-0.16;
-9.18;0.20;0.61;299;200;85.97;85.43;-699;3.82;4.36;-0.37;0.18;0.93;0.38;-9.91;-1.29;-0.31;130;84;82.38;82.66;-104;-1.75;-1.44;0.11;-0.16;0.28;-0.14;
-9.19;0.18;0.65;312;264;85.80;85.45;-732;4.06;4.35;-0.88;0.08;1.91;0.53;-9.92;-1.31;-0.21;225;49;82.36;82.64;-50;-1.19;-1.43;0.94;-0.12;-0.25;-0.15;
-9.20;0.17;0.70;490;168;85.54;85.45;-716;4.34;4.35;-0.63;0.01;0.44;0.52;-9.91;-1.25;-0.23;256;96;82.67;82.65;-119;-1.34;-1.42;-0.12;-0.12;0.47;-0.13;
-9.13;0.21;0.45;693;111;86.88;85.50;-635;2.84;4.30;0.61;0.06;-0.43;0.44;-9.90;-1.35;-0.32;346;120;82.03;82.63;-150;-1.85;-1.44;-0.59;-0.14;0.83;-0.09;
-9.15;0.20;0.58;400;109;86.19;85.52;-665;3.60;4.28;0.15;0.07;-0.46;0.37;-9.82;-1.39;-0.20;290;45;81.84;82.60;-61;-1.17;-1.43;0.77;-0.11;-0.31;-0.10;
-9.14;0.07;0.46;892;245;87.08;85.57;-776;2.88;4.23;-1.55;-0.05;1.62;0.47;-9.85;-1.47;-0.28;322;-7;81.37;82.56;80;-1.62;-1.43;2.92;-0.01;-1.11;-0.13;
-9.16;0.33;0.58;482;-76;85.81;85.57;-702;3.65;4.22;-0.42;-0.08;-3.28;0.20;-9.85;-1.09;-0.27;358;41;83.52;82.59;39;-1.53;-1.43;2.30;0.06;-0.37;-0.14;
-9.17;0.21;0.73;113;112;85.29;85.56;-649;4.53;4.22;0.39;0.21;-0.41;-0.18;-9.84;-1.26;-0.21;248;-69;82.57;82.59;-113;-1.24;-1.42;-0.03;0.06;-2.05;-0.20;
-9.21;0.14;0.71;206;-14;85.50;85.55;-593;4.42;4.23;1.25;0.93;-2.33;-1.67;-9.87;-1.30;-0.28;283;-27;82.32;82.57;-123;-1.64;-1.43;-0.18;0.05;-1.41;-0.24;
-9.16;0.13;0.76;703;18;85.17;85.54;-625;4.76;4.25;0.76;0.81;-1.85;-1.79;-9.91;-1.25;-0.28;399;33;82.66;82.58;-88;-1.62;-1.43;0.36;0.06;-0.50;-0.24;
-9.27;0.25;0.77;641;94;84.99;85.52;-656;4.76;4.27;0.28;0.44;-0.68;-1.02;-9.90;-1.10;-0.24;318;53;83.53;82.60;-70;-1.40;-1.43;0.63;0.08;-0.19;-0.24;
-9.17;0.17;0.70;371;73;85.54;85.51;-664;4.33;4.27;0.16;0.25;-1.01;-1.01;-9.85;-1.19;-0.27;285;61;82.96;82.61;-135;-1.53;-1.43;-0.36;0.07;-0.07;-0.24;
-9.13;0.21;0.66;390;124;85.67;85.51;-684;4.13;4.27;-0.14;-0.02;-0.23;-0.46;-9.82;-1.23;-0.26;234;37;82.71;82.61;-131;-1.51;-1.44;-0.30;0.06;-0.44;-0.24;
-9.15;0.24;0.73;288;171;85.23;85.51;-698;4.54;4.27;-0.36;-0.26;0.49;0.20;-9.90;-1.17;-0.18;214;-8;83.17;82.62;-168;-1.06;-1.43;-0.86;0.03;-1.12;-0.26;
-9.17;0.13;0.76;229;233;85.21;85.50;-741;4.72;4.28;-1.01;-0.78;1.44;1.06;-9.86;-1.21;-0.16;199;-7;82.96;82.63;-159;-0.89;-1.42;-0.73;0.01;-1.11;-0.28;
-9.17;0.15;0.62;420;174;86.03;85.52;-700;3.86;4.27;-0.39;-0.51;0.54;0.70;-9.91;-1.25;-0.29;286;84;82.62;82.63;-198;-1.66;-1.42;-1.32;-0.02;0.28;-0.27;
-9.13;0.19;0.79;418;194;84.92;85.51;-725;4.93;4.28;-0.77;-0.69;0.84;0.80;-9.94;-1.12;-0.25;193;89;83.40;82.64;-203;-1.41;-1.43;-1.40;-0.05;0.36;-0.26;
-9.19;0.19;0.64;454;245;85.81;85.52;-651;4.01;4.27;0.36;0.04;1.62;1.37;-9.92;-1.24;-0.31;255;66;82.68;82.64;-286;-1.75;-1.44;-2.67;-0.11;0.01;-0.25;
-9.21;0.12;0.47;387;229;86.99;85.55;-687;2.92;4.24;-0.19;-0.12;1.38;1.37;-9.91;-1.41;-0.18;297;14;81.82;82.62;-170;-1.02;-1.43;-0.90;-0.13;-0.79;-0.26;
-9.13;0.23;0.71;367;118;85.32;85.55;-671;4.46;4.25;0.06;0.00;-0.32;0.20;-9.90;-1.22;-0.25;239;29;82.83;82.63;-116;-1.44;-1.43;-0.07;-0.13;-0.56;-0.27;
-9.16;0.13;0.62;450;124;86.02;85.56;-662;3.89;4.24;0.19;0.14;-0.23;-0.10;-9.96;-1.30;-0.22;244;52;82.47;82.62;-185;-1.24;-1.43;-1.12;-0.15;-0.21;-0.27;
-9.16;0.18;0.61;302;125;86.01;85.57;-610;3.83;4.23;0.99;0.73;-0.21;-0.18;-9.93;-1.22;-0.26;214;30;82.82;82.62;-182;-1.46;-1.44;-1.08;-0.17;-0.54;-0.27;
-9.21;0.11;0.72;273;112;85.45;85.57;-619;4.49;4.24;0.85;0.81;-0.41;-0.34;-9.84;-1.24;-0.23;214;56;82.70;82.63;-167;-1.34;-1.44;-0.85;-0.18;-0.15;-0.27;
-9.15;0.17;0.53;451;64;86.54;85.58;-643;3.30;4.23;0.48;0.58;-1.14;-0.90;-9.86;-1.22;-0.24;192;67;82.79;82.63;-104;-1.36;-1.43;0.11;-0.18;0.02;-0.26;
-9.16;0.18;0.60;392;46;86.07;85.59;-651;3.76;4.22;0.36;0.43;-1.42;-1.26;-9.90;-1.28;-0.25;204;100;82.50;82.63;-143;-1.41;-1.44;-0.48;-0.18;0.53;-0.25;
-9.09;0.23;0.59;469;102;86.03;85.59;-648;3.70;4.21;0.41;0.41;-0.56;-0.77;-9.88;-1.27;-0.25;225;42;82.55;82.62;-189;-1.44;-1.44;-1.19;-0.20;-0.36;-0.25;
-9.07;0.16;0.56;390;143;86.35;85.61;-717;3.51;4.20;-0.65;-0.33;0.06;-0.19;-9.84;-1.26;-0.24;282;21;82.57;82.62;-130;-1.41;-1.44;-0.28;-0.21;-0.68;-0.26;
-9.19;0.22;0.65;448;120;85.74;85.61;-675;4.03;4.20;-0.01;-0.10;-0.29;-0.26;-9.89;-1.33;-0.22;274;27;82.22;82.61;-130;-1.28;-1.44;-0.28;-0.21;-0.59;-0.27;
-9.19;0.08;0.59;525;107;86.30;85.62;-660;3.66;4.19;0.22;0.12;-0.49;-0.42;-9.92;-1.28;-0.17;374;46;82.56;82.61;-108;-0.97;-1.43;0.05;-0.20;-0.30;-0.27;
-9.11;0.17;0.71;431;75;85.41;85.61;-660;4.45;4.19;0.22;0.19;-0.97;-0.81;-9.89;-1.29;-0.22;323;52;82.46;82.61;-95;-1.25;-1.43;0.25;-0.19;-0.21;-0.26;
-9.19;0.20;0.67;429;134;85.63;85.61;-690;4.18;4.19;-0.23;-0.10;-0.07;-0.30;-9.91;-1.25;-0.18;251;50;82.75;82.61;-45;-1.05;-1.42;1.01;-0.17;-0.24;-0.26;
-9.14;0.19;0.72;441;178;85.32;85.61;-638;4.53;4.20;0.56;0.36;0.60;0.33;-9.88;-1.24;-0.21;301;43;82.74;82.61;-125;-1.22;-1.41;-0.21;-0.17;-0.34;-0.27;
-9.15;0.15;0.65;381;101;85.80;85.61;-613;4.09;4.20;0.94;0.76;-0.58;-0.30;-9.90;-1.24;-0.22;328;93;82.74;82.61;-109;-1.26;-1.41;0.04;-0.17;0.42;-0.25;
-9.16;0.19;0.57;415;102;86.22;85.62;-636;3.58;4.19;0.59;0.64;-0.56;-0.48;-9.83;-1.31;-0.18;290;80;82.35;82.61;-63;-1.03;-1.40;0.74;-0.15;0.22;-0.25;
-9.17;0.22;0.71;476;74;85.34;85.61;-597;4.45;4.20;1.19;1.02;-0.99;-0.84;-9.90;-1.27;-0.18;329;103;82.60;82.61;-41;-1.04;-1.40;1.07;-0.13;0.57;-0.23;
-9.16;0.20;0.66;416;99;85.68;85.61;-616;4.14;4.20;0.90;0.93;-0.61;-0.68;-9.81;-1.31;-0.29;254;92;82.19;82.60;-43;-1.66;-1.40;1.04;-0.11;0.40;-0.22;
-9.13;0.29;0.80;382;103;84.69;85.59;-625;4.98;4.22;0.76;0.81;-0.55;-0.59;-9.91;-1.17;-0.23;160;76;83.15;82.61;-121;-1.30;-1.40;-0.15;-0.11;0.16;-0.22;
-9.14;0.24;0.71;243;161;85.31;85.59;-670;4.44;4.22;0.07;0.30;0.34;0.06;-9.94;-1.23;-0.22;176;35;82.84;82.61;-130;-1.26;-1.40;-0.28;-0.12;-0.47;-0.22;
-9.13;0.21;0.72;277;191;85.30;85.58;-700;4.52;4.23;-0.39;-0.18;0.80;0.57;-9.86;-1.31;-0.24;280;6;82.32;82.61;-184;-1.36;-1.40;-1.11;-0.13;-0.91;-0.23;
